,id,pre_code
0,252181867,13
1,253116588,10
2,263169603,8
3,263170322,8
4,263170973,8
5,263171654,8
6,263173769,8
7,263173775,8
8,263174169,8
9,263174638,8
10,264406105,8
11,264414272,9
12,264414312,9
13,264414398,9
14,264414427,9
15,264414933,9
16,264414945,9
17,264414962,9
18,264811005,10
19,264817640,10
20,264880677,9
21,264887159,9
22,264887203,9
23,264887412,9
24,264890032,9
25,264890309,9
26,264890326,9
27,264890521,9
28,276598197,13
29,280497227,13
30,280497653,14
31,281366090,13
32,281366385,13
33,281367199,14
34,281367943,13
35,281369098,13
36,281417172,13
37,281417757,13
38,281441695,13
39,281469984,14
40,281471393,14
41,286932803,13
42,286932875,13
43,286932984,13
44,287277278,14
45,288166256,11
46,295063523,13
47,298987497,14
48,302041895,13
49,302046097,13
50,304159066,13
51,305546807,13
52,305546892,13
53,305547612,13
54,307676081,13
55,308226692,13
56,309037541,13
57,310387533,13
58,310387535,13
59,312078631,14
60,315863803,13
61,322038004,12
62,322447002,8
63,331425426,12
64,344230687,13
65,344907542,11
66,344931542,13
67,345148090,12
68,345153737,12
69,346856897,13
70,346861195,13
71,346862876,13
72,346865866,13
73,346867078,13
74,346868250,13
75,346873413,13
76,349080701,13
77,349119754,13
78,350055294,13
79,350058120,13
80,352755433,13
81,353287796,13
82,355572815,13
83,355573617,13
84,356626404,13
85,356907980,14
86,358450250,14
87,358988147,14
88,359010138,13
89,360201376,13
90,360201779,13
91,360202148,13
92,360546990,13
93,360605485,13
94,360620346,13
95,360622957,13
96,360661318,13
97,360661318,13
98,361105298,13
99,364424128,13
100,364643447,13
101,365293874,13
102,366198526,13
103,366200310,13
104,366497801,13
105,366644834,11
106,369662273,14
107,369787454,14
108,369787623,14
109,374103151,14
110,374106517,14
111,379357040,13
112,379362434,13
113,380493223,13
114,380517766,13
115,380542634,13
116,381131962,13
117,382041795,13
118,384040708,13
119,384053790,13
120,384332661,13
121,384336817,13
122,384339916,14
123,384359579,13
124,385026898,14
125,393124691,14
126,393140555,19
127,410459457,13
128,410751294,11
129,426836321,12
130,426888734,13
131,427596731,13
132,429505763,14
133,429712447,13
134,429722990,13
135,429764681,13
136,430092650,13
137,432853515,14
138,433596409,13
139,433682863,13
140,433690125,13
141,433724613,13
142,434420083,14
143,442981087,14
144,444401700,12
145,448170398,14
146,461618219,14
147,469773759,14
148,472822807,13
149,472839337,13
150,472845356,13
151,476502190,11
152,476502902,11
153,476663068,13
154,484504274,13
155,503889337,11
156,503890612,11
157,506091650,13
158,519877903,13
159,528610050,14
160,528723500,14
161,537646090,14
162,538953447,14
163,549943016,13
164,550998092,12
165,558886751,8
166,564652892,14
167,564679271,14
168,564683298,14
169,573160940,12
170,573263650,14
171,588382143,14
172,588384811,14
173,588411766,14
174,588418778,14
175,588653618,14
176,595796178,13
177,598384075,13
178,598515219,14
179,601463306,13
180,601597513,13
181,603054338,14
182,604243933,13
183,604347730,13
184,618591679,13
185,618623779,13
186,618630501,13
187,638244045,13
188,638957685,13
189,647813174,13
190,648752413,13
191,655135958,13
192,656317386,14
193,656317413,14
194,665236829,14
195,665873835,14
196,674651501,14
197,699743894,9
198,720441954,7
199,734858734,8
200,734882620,8
201,736463383,8
202,736463419,8
203,736482224,8
204,752178794,13
205,764747643,8
206,766774766,15
207,767609666,8
208,823878873,11
209,858542168,19
210,858927868,14
211,860789018,7
212,872022714,13
213,872029059,13
214,878870298,13
215,879607043,13
216,897455552,13
217,925562874,14
218,925575747,14
219,925989987,14
220,926471591,14
221,926486513,14
