,id,railway_id
34078,170205870,25795716
33109,170206699,25795716
34079,170206803,25795716
34080,170221241,25795716
34081,172525808,16679573
13922,172702864,16705526
13923,190161679,27828735
13924,190161742,27828733
20856,202850800,24372121
19048,222732953,24299430
19049,222733199,24299430
19050,222734230,24299430
19051,222734777,24299430
19052,222734880,24299430
19053,222735172,24299430
19054,222735426,24299430
19055,222736100,24299430
19056,222736952,24299430
19057,222738140,24299430
19058,222738180,24299430
19059,222738408,24299430
19060,222739710,24299430
13925,240510166,24370419
13926,240510375,24370419
34084,241787821,24412214
13927,241865525,22729845
13928,241866092,22729845
13929,241867099,151300195
13930,241867365,62255019
34085,243818939,22730057
13931,243819423,243609567
13932,243819524,243609567
13933,243887299,22735744
13934,243887558,24399334
13935,243887570,24399334
13936,244091830,37866121
13937,244091844,37866121
13938,244091847,37866121
13939,244091875,37866121
13940,244091895,37866121
13941,244092014,37866121
13942,244092026,37866121
13943,244092078,37866121
13944,244096947,23260423
13945,244096983,23260423
13946,245519338,22728912
13947,245519438,22728912
13948,246768477,22917652
13949,246768666,22917652
13950,248251246,16705526
13951,248512884,151764942
13952,248748444,22728981
13953,251510592,24994977
13018,252181867,161930462
11287,252533515,133483032
13019,253116588,25549522
22429,253129507,45906360
5,253170419,182297535
6,253174063,182297535
13954,257362960,240605904
13955,258965954,23260423
19061,260353323,24370410
13956,260428217,22735744
34092,262600600,24398541
18814,263063550,24294409
18815,263064213,24294409
13957,263066743,24294524
13958,263067037,24294524
13959,263067224,24294524
13960,263067258,24294524
13961,263067558,24294524
13962,263067677,24294524
13963,263067678,24294524
13964,263067680,24294524
13965,263067818,24294524
13966,263067847,24294524
13967,263067934,24294524
13968,263068008,24294524
13969,263068115,24294524
13970,263068292,24294524
13971,263068501,24294524
11288,263069420,24294773
19063,263069697,24294762
19064,263069770,24294762
13972,263070328,24294758
13973,263070463,24294758
13974,263070467,24294758
19065,263070755,24294762
19066,263071274,24294762
19067,263071300,24294762
19068,263071355,24294762
19069,263071358,24294762
19070,263071412,24294762
19071,263071542,24294762
19072,263071829,24294762
19073,263072137,24294762
19074,263072446,24294762
19075,263073279,24294762
19076,263074126,24294762
19077,263081925,24294762
19078,263083114,24294762
19079,263083415,24294762
19080,263083971,24294762
13975,263165152,24296449
13976,263165360,24296449
13977,263165377,24296449
13978,263165415,24296449
13979,263165480,24296449
13980,263166259,24296449
13981,263166384,24296449
13982,263166438,24296449
13983,263166681,24296449
13984,263166687,24296449
13985,263166711,24296449
13986,263166984,24296449
13987,263167056,24296449
13988,263167108,24296449
13989,263167221,24296449
13990,263167522,24296449
13991,263167550,24296449
13992,263167586,24296449
13993,263167946,24296449
13994,263167995,24296449
13995,263168024,24296449
13996,263168157,24296449
13997,263168214,24296449
13998,263168366,24296449
13999,263168506,24296449
14000,263168705,24296449
14001,263168724,24296449
14002,263168733,24296449
14003,263168888,24296449
14004,263168904,24296449
14005,263168984,24296449
14006,263169006,24296449
14007,263169030,24296449
14008,263169077,24296449
14009,263169081,24296449
14010,263169100,24296449
14011,263169393,24296449
13020,263169603,24296449
14012,263169642,24296449
14013,263170294,24296449
13021,263170322,24296449
14014,263170597,24296449
14015,263170922,24296449
14016,263170929,24296449
13022,263170973,24296449
14017,263171055,24296449
14018,263171099,24296449
14019,263171103,24296449
14020,263171202,24296449
14021,263171311,24296449
14022,263171380,24296449
14023,263171403,24296449
14024,263171412,24296449
14025,263171416,24296449
13023,263171654,24296449
14026,263171985,24296449
14027,263172015,24296449
14028,263172061,24296449
14029,263172092,24296449
14030,263172147,24296449
14031,263172415,24296449
14032,263172436,24296449
14033,263172439,24296449
14034,263172472,24296449
14035,263172843,24296449
14036,263173027,24296449
14037,263173156,24296449
14038,263173549,24296449
13024,263173769,24296449
13025,263173775,24296449
14039,263174161,24296449
13026,263174169,24296449
14040,263174266,24296449
14041,263174276,24296449
14042,263174436,24296449
14043,263174458,24296449
13027,263174638,24296449
14044,263174659,24296449
14045,263174669,24296449
14046,263174689,24296449
14047,263174695,24296449
14048,263174704,24296449
14049,263174720,24296449
19081,263176952,24299352
18816,263177312,24299352
19082,263177461,24299352
19083,263177475,24299352
19084,263177482,24299352
19085,263177510,24299352
19086,263177566,24299352
19087,263177569,24299352
19088,263177920,24299352
19089,263178091,24299352
19090,263178110,24299352
