,pre_code,prefecture
20856,1,北海道
18816,2,青森県
19150,3,岩手県
18817,4,宮城県
18826,5,秋田県
18858,6,山形県
11089,7,福島県
13020,8,茨城県
12059,9,栃木県
11136,10,群馬県
13046,11,埼玉県
13161,12,千葉県
13018,13,東京都
13060,14,神奈川県
11054,15,新潟県
11069,16,富山県
5564,17,石川県
5319,18,福井県
13229,19,山梨県
11067,20,長野県
5310,21,岐阜県
5316,23,愛知県
5309,24,三重県
5318,25,滋賀県
5311,26,京都府
5391,27,大阪府
3521,28,兵庫県
5328,29,奈良県
3505,31,鳥取県
3639,32,島根県
2731,33,岡山県
1689,34,広島県
3684,35,山口県
1688,36,徳島県
1684,37,香川県
1672,38,愛媛県
1832,39,高知県
157,41,佐賀県
79,42,長崎県
5,43,熊本県
101,44,大分県
7,45,宮崎県
110,46,鹿児島県
0,47,沖縄県
