,railway_id,railway_name
35735,16679573,JR東海道本線
13922,16705526,京成本線
21149,19008063,JR函館本線
15977,22603988,JR外房線
13947,22728912,京成松戸線
15850,22728981,京成千葉線
15774,22729845,成田線
34085,22730057,富士急行線
14260,22735744,東武東上線
13250,22788143,成田線（我孫子支線）
13948,22917652,川越線
13595,23126083,山手線
13945,23260423,流鉄流山線
15316,23631286,京浜東北線
13046,24015496,西武池袋線
17352,24294402,JR只見線
20336,24294409,JR只見線
17835,24294524,JR磐越東線
18517,24294535,
13972,24294758,JR磐越西線
19065,24294762,JR磐越西線
13013,24294773,JR磐越西線
13975,24296449,JR水郡線
19081,24299352,JR奥羽本線
19109,24299430,JR奥羽本線 (山形新幹線)
20079,24299570,JR奥羽本線 (1067mm狭軌)
18865,24299633,JR奥羽本線（山形新幹線）
19124,24299802,福島交通飯坂線
19128,24299982,阿武隈急行線
20349,24300024,JR東北線
14050,24300448,会津鉄道会津線
34094,24301206,江ノ島電鉄
13350,24302093,京浜急行電鉄本線
14980,24302539,京浜急行電鉄大師線
15163,24302600,京浜急行電鉄空港線
14056,24353308,JR東北線
14075,24353314,JR宇都宮線（東北本線）
16958,24353329,JR東北本線
19599,24353360,JR東北線 (利府支線)
19968,24353795,青い森鉄道
34109,24354108,伊豆急行
34110,24355054,伊豆箱根鉄道大雄山線
34118,24355122,伊豆箱根鉄道駿豆線
36190,24355235,JR伊東線
34122,24355374,箱根登山鉄道鉄道線
35320,24355581,JR御殿場線
19136,24356476,JR津軽線
21368,24356495,JR津軽線
20897,24356601,JR大湊線
16261,24356682,東武鬼怒川線
19137,24356845,JR五能線
19961,24356993,JR男鹿線
19150,24357018,JR花輪線
20251,24357234,JR田沢湖線;秋田新幹線
19534,24359260,JR北上線
19177,24359761,JR羽越線
11296,24359764,JR羽越線
19244,24370099,JR陸羽東線
19258,24370224,JR陸羽西線
18882,24370410,JR常磐線
14078,24370419,JR常磐線
19276,24370525,JR仙石線
19278,24370584,JR左沢線
18833,24370649,JR仙山線
11054,24370713,JR白新線
14098,24370740,JR烏山線
19304,24370766,JR米坂線
11314,24370802,JR米坂線
16462,24370835,JR日光線
14955,24370858,JR水戸線
12209,24370976,JR越後線
14128,24371130,両毛線
21146,24371189,JR海峡線
20865,24371361,道南いさりび鉄道線
20938,24371467,室蘭本線
21434,24371540,千歳線
20950,24371737,JR留萌本線
20951,24371902,JR富良野線
20856,24372121,JR石北本線
21001,24372257,JR石勝線
21019,24372539,JR根室本線
21067,24372899,JR釧網本線
21568,24373035,JR日高本線
21136,24373127,JR札沼線
21299,24373211,JR宗谷本線
5600,24373333,えちぜん鉄道三国芦原線
5631,24373397,えちぜん鉄道勝山永平寺線
11323,24373577,のと鉄道七尾線
19331,24373655,弘南鉄道大鰐線
19337,24373701,弘南鉄道弘南線
12059,24373731,わたらせ渓谷線
21102,24373786,函館市電 2系統(本線)
21101,24373829,函館市電 5系統(本線)
21108,24373847,函館市電 5系統(湯の川線)
12128,24398427,弥彦線
34253,24398541,JR小海線
15125,24398548,JR小海線
11850,24398657,信越本線
13036,24398665,信越本線
11354,24398679,北しなの線
11357,24398787,妙高はねうまライン
15437,24398899,JR南武線
15452,24399090,上越線
13934,24399334,JR中央線
19351,24402129,秋田内陸縦貫鉄道秋田内陸線
33131,24402301,JR飯田線
19354,24402511,津軽鉄道
19544,24402515,津軽鉄道線
