,railway_id,railway_name
0,161930462,五日市線
1,25549522,八高線
2,24296449,JR水郡線
10,24370419,JR常磐線
11,24371130,両毛線
18,24398665,信越本線
19,24399090,上越線
20,24402676,東武宇都宮線
21,24403223,東武日光線
28,25801953,京王電鉄京王線
29,25721964,JR横浜線
31,37235959,小田急電鉄小田原線
32,238814403,小田急電鉄 小田原線
39,60607664,JR相模線 (JR Sagami line)
41,26204605,京王電鉄井の頭線
45,24015496,西武池袋線
48,24475070,東急多摩川線
50,107127773,東急池上線
51,27828733,JR青梅線
54,175846080,東急電鉄世田谷線
57,741914521,京王電鉄京王線;飛田給;2番線
59,212758785,東急目黒線
61,22788143,成田線（我孫子支線）
65,240605904,JR高崎線
75,28728093,京王電鉄京王線 (Keio Railway Keio Line)
81,1231657112,京王電鉄京王線;桜上水;3番線
85,24398899,JR南武線
97,47195914,京王線
98,24475024,東急大井町線
106,82278278,JR鶴見線
115,155269538,湘南新宿ライン
126,24399334,JR中央線
128,22735744,東武東上線
129,151300195,総武本線
151,27188118,高崎線
155,41235092,東武越生線
198,24294402,JR只見線
204,60786425,新金貨物線
215,24302093,京浜急行電鉄本線
218,24294535,
230,22917652,川越線
232,22729845,成田線
233,176728801,横田基地引込線
244,24353308,JR東北線
245,96382972,神奈川臨海鉄道千鳥線
256,1231657119,京王電鉄京王線;東府中;4番線
259,24302539,京浜急行電鉄大師線
269,24370835,JR日光線
271,231541944,JR鹿島線
280,225338468,尻手短絡線
287,24459046,JR身延線
290,54936286,横浜高速鉄道こどもの国線
299,81187317,JR横須賀線
317,41234748,秩父鉄道
331,155269540,JR埼京線
346,199907717,銚子電気鉄道線
366,1231657101,京王電鉄京王線;つつじヶ丘;2番線
373,144947303,小田急電鉄江ノ島線
379,66208534,越中島支線
394,23126083,山手線
395,31783412,吾妻線
413,24370858,JR水戸線
424,68419459,真岡鐵道真岡線
471,24994977,東武アーバンパークライン
476,136115748,JR東海道本線
515,24300448,会津鉄道会津線
522,22728981,京成千葉線
525,16705526,京成本線
528,283644770,西武多摩湖線
541,38342003,関東鉄道竜ヶ崎線
559,24353329,JR東北本線
589,27828735,JR青梅短絡線
596,62255019,JR総武快速線 (JR Sōbu Rapid Line)
597,243609567,富士急行線
602,37866121,都電荒川線
610,23260423,流鉄流山線
612,22728912,新京成線
617,151764942,JR東金線
623,24294524,JR磐越東線
638,24294758,JR磐越西線
727,24353314,JR宇都宮線（東北本線）
764,24370740,JR烏山線
810,24373731,わたらせ渓谷線
819,24398548,JR小海線
922,24616921,西武国分寺線
928,24851557,鹿島臨海鉄道大洗鹿島線
946,857847374,JR相模線
960,27735564,東急東横線
1051,27380116,伊勢崎線
1054,196471574,東武伊勢崎線
1071,94295217,JR飯山線
1086,30414719,上信電鉄
1097,30414948,上毛電気鉄道上毛線
1115,38342031,関東鉄道常総線
1116,30661443,京成電鉄押上線
1123,58187417,東武亀戸線
1164,35005634,西武新宿線
1183,58686701,西武拝島線
1185,35096694,西武園線
1195,491297756,東京急行電鉄世田谷線
1197,58700270,西武多摩川線
1389,24370976,JR越後線
1409,401115171,京王電鉄動物園線
1518,68353048,ひたちなか海浜鉄道湊線
1597,79171329,桐生線
1653,79168093,東武小泉線
1654,79168079,東武小泉線 (Tobu Koizumi Line)
1664,79170705,東武佐野線
1666,79170723,東武佐野線 (Tobu Sano Line)
1702,222826019,鹿島臨港線
1791,631531658,東邦亜鉛専用線
1822,677379437,福島臨海鉄道
1955,24302600,京浜急行電鉄空港線
1969,180638697,常磐快速線
2060,442387934,秩父鉄道三ヶ尻線
2127,23631286,京浜東北線
2192,229799077,京葉臨海鉄道臨海本線 (Keiyo Rinkai Railway Rinkai Main Line)
2193,1104895682,小湊鐵道
2196,156003826,JR内房線
2197,157839207,京葉臨海鉄道臨海本線
2204,284227131,西武狭山線
2263,362874557,しなの鉄道線
2456,565443943,秩父鉄道三輪線
2503,155996063,京成電鉄金町線 (Keisei Kanamachi Line)
2686,153083582,レオとライオの夕日列車
2776,355560618,北総線
2777,247828462,北総線・京成成田空港線
2778,246543166,京成電鉄金町線
2786,156263686,まきば線
2808,22603988,JR外房線
2967,96382975,神奈川臨海鉄道千鳥東線
3103,24356682,東武鬼怒川線
3171,369262969,西武豊島線
3413,583035892,JR信越線
3559,71898116,ウエスタンリバー鉄道 Western River Railway
3686,211246514,コスモ石油千葉製油所専用線
3710,215669247,野岩鉄道会津鬼怒川線
3799,170885997,東海道貨物線
3800,95928264,神奈川臨海鉄道浮島線
3894,143174105,京王電鉄高尾線
3940,229808179,京葉臨海鉄道臨海本線 京葉市原支線
4027,30661569,京王電鉄競馬場線
4404,330470982,東芝試験線
4570,384001745,太陽の恵み鉄道パークライン
4692,279791408,豆汽車弁慶号
4841,283360261,西武秩父線
4842,1254977030,ミニSL
5018,575455752,豆汽車
5039,242566634,京王電鉄相模原線 (Keio Railway Sagamihara Line)
5211,1302865803,ミニトレイン
5233,661135260,むさしの村鉄道
5245,900570016,東京メトロ東西線
5286,251170151,東急田園都市線
5299,495632314,生産技術研究所 千葉試験線2.0
5316,194646049,JR総武快速線
5537,544319673,上り1番線
5556,231560983,JR総武本線
5598,629799416,宇都宮芳賀ライトレール線
5644,156118709,JR武蔵野線
5645,832954141,東京メトロ有楽町線
